dataset,series_id,regime,rho_interval_abs_train,relative_gain,delta_rmse,rmse_point,rmse_hurdle,ADI_selection,CV2_selection,zero_ratio_train,n_positive_train,n_positive_test
m5,FOODS_1_205_CA_2_evaluation,lumpy,0.0059422834940647,0.03619116872247992,0.1103055036998026,3.04785691077412,2.9375514070743174,4.6421319796954315,0.5222547751741502,0.4497206703910614,394,77
m5,FOODS_1_207_CA_4_evaluation,intermittent,0.0228615989536497,-0.030719874762441958,-0.0447455406674519,1.45656650664988,1.501312047317332,1.8456104944500504,0.4252725304347329,0.4581738655002734,991,59
m5,FOODS_1_208_TX_2_evaluation,intermittent,0.0762456069418073,-0.01836710358852349,-0.0232113216413043,1.2637442550173057,1.2869555766586098,1.8797533401849948,0.4893647186807373,0.3128531073446328,973,50
m5,FOODS_1_213_CA_2_evaluation,intermittent,0.0311332793692793,0.06017998689027999,0.055404129064096,0.9206404309311114,0.8652363018670153,2.0435754189944135,0.4272930648769575,0.5106615636960088,895,26
m5,FOODS_1_218_CA_2_evaluation,erratic,0.0795947901591889,0.09033027331840993,0.8569072649454021,9.486379631830015,8.629472366884615,1.0356738391845979,0.6118651601740057,0.0344450519409513,1766,78
m5,FOODS_1_218_CA_3_evaluation,erratic,0.003232975316981,0.05714793889189932,0.4729178275976018,8.275326053178754,7.802408225581152,1.0584490740740742,0.8332395332185385,0.0552214324767632,1728,84
m5,FOODS_1_219_TX_3_evaluation,lumpy,0.0056354118710248,0.03523429479834382,0.0465272438977169,1.3205101496711067,1.2739829057733898,2.4034165571616293,0.5208832886951106,0.5839256424275561,761,42
m5,FOODS_1_219_WI_2_evaluation,intermittent,0.0086193274242273,-0.017221218622879238,-0.0382667305132824,2.222068678835722,2.2603354093490045,1.718984962406015,0.374034803767473,0.4182613449972662,1064,68
m5,FOODS_2_003_CA_2_evaluation,lumpy,0.0183004776599026,0.02669788225571278,0.0350977915205112,1.314628298392507,1.2795305068719958,12.4421768707483,0.5361220890410962,0.6783369803063457,147,30
m5,FOODS_2_009_WI_3_evaluation,lumpy,0.1865409434362897,-0.05534575861522334,-0.0817425191020659,1.4769427892453153,1.5586853083473813,1.6374216651745748,0.5600324188961866,0.3892837616183707,1117,56
m5,FOODS_2_013_CA_1_evaluation,smooth,0.0137309568853929,-0.09519656195486437,-0.2503902192944123,2.6302443507689914,2.880634570063404,1.094554159186116,0.33763654731077086,0.0863860032804811,1671,79
m5,FOODS_2_013_CA_2_evaluation,smooth,0.0157715028995717,-0.026406330147060533,-0.0757835565632629,2.869901123753801,2.9456846803170635,1.127620221948212,0.37059934461980115,0.1131765992345544,1622,79
m5,FOODS_2_013_CA_3_evaluation,smooth,0.0464649755643471,-0.10153248120323471,-0.2279422662481764,2.2450181808510203,2.472960447099197,1.0433542498573873,0.34848927159656334,0.0415527610716238,1753,77
m5,FOODS_2_013_TX_1_evaluation,smooth,0.015311610249921,0.056681111253195436,0.1263322205514483,2.228823990184671,2.1024917696332226,1.0246498599439775,0.35989615404927483,0.0240568616730453,1785,83
m5,FOODS_2_015_TX_3_evaluation,intermittent,0.0550607137255332,0.022554286957802424,0.0175438219237011,0.7778486616102929,0.7603048396865917,16.04385964912281,0.36428225505849465,0.5746268656716418,114,39
m5,FOODS_2_019_CA_4_evaluation,smooth,0.0016891115503056,-0.018348325564386227,-0.0499304758507612,2.7212551726068868,2.771185648457648,1.2299932750504372,0.335073220628795,0.1869874248223072,1487,71
m5,FOODS_2_019_TX_3_evaluation,erratic,0.0041547349499136,0.0025348737679561054,0.0052808857679242,2.08329339104812,2.078012505280196,1.193864229765013,0.6777975681648601,0.1623838162930563,1532,74
m5,FOODS_2_021_TX_2_evaluation,erratic,0.0043604215781624,0.06451252744547797,0.2227530725763999,3.452865379745928,3.230112307169528,1.318673395818313,0.519276654812812,0.2416621104428649,1387,42
